Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/4/14,walking,walking,2014-10-04T09:33:38-04:00,2014-10-04T09:36:38-04:00,180,0.094,203,10
10/4/14,walking,walking,2014-10-04T11:20:52-04:00,2014-10-04T11:23:25-04:00,153,0.088,188,9
10/4/14,walking,walking,2014-10-04T13:29:14-04:00,2014-10-04T13:31:44-04:00,150,0.099,213,10
10/4/14,walking,walking,2014-10-04T14:06:59-04:00,2014-10-04T14:16:29-04:00,570,0.270,578,28
10/4/14,transport,transport,2014-10-04T14:20:53-04:00,2014-10-04T14:23:02-04:00,129,0.833,0,0
10/4/14,walking,walking,2014-10-04T14:23:30-04:00,2014-10-04T14:24:30-04:00,60,0.032,102,3
10/4/14,walking,walking,2014-10-04T15:52:42-04:00,2014-10-04T16:17:22-04:00,1480,0.839,1180,88
10/4/14,walking,walking,2014-10-04T16:17:21-04:00,2014-10-04T16:17:22-04:00,1,0.000,1,0
10/4/14,walking,walking,2014-10-04T17:36:07-04:00,2014-10-04T17:36:37-04:00,30,0.016,51,2
10/4/14,walking,walking,2014-10-04T20:00:32-04:00,2014-10-04T20:01:32-04:00,60,0.029,91,3
10/4/14,walking,walking,2014-10-04T22:49:08-04:00,2014-10-04T22:49:59-04:00,51,0.017,55,2
10/4/14,walking,walking,2014-10-04T23:00:00-04:00,2014-10-04T23:02:39-04:00,159,0.088,189,9
