Date,Activity,Group,Duration,Distance,Steps,Calories
12/1/13,walking,walking,4656,4.036,7342,423
12/1/13,transport,transport,9817,85.375,0,0
12/1/13,running,running,212,0.316,339,40
12/2/13,walking,walking,464,0.192,543,20
12/3/13,walking,walking,2139,1.227,3133,129
12/3/13,transport,transport,787,2.241,0,0
12/4/13,transport,transport,11349,1007.407,0,0
12/4/13,walking,walking,1659,0.793,1814,83
12/5/13,walking,walking,6371,5.284,10516,554
12/6/13,walking,walking,5163,4.065,8230,426
12/6/13,transport,transport,4579,44.368,0,0
12/7/13,walking,walking,4776,3.923,7416,411
12/8/13,walking,walking,2539,2.004,4291,210
12/9/13,walking,walking,5833,5.131,10135,538
12/9/13,transport,transport,2611,9.081,0,0
12/10/13,walking,walking,2305,1.162,2875,122
12/10/13,transport,transport,616,4.841,0,0
12/11/13,walking,walking,4143,3.181,6537,333
12/11/13,transport,transport,2333,8.794,0,0
12/12/13,walking,walking,5569,4.796,9618,502
12/13/13,walking,walking,2714,2.260,4319,237
12/13/13,transport,transport,35685,486.645,0,0
12/14/13,walking,walking,2114,1.734,3398,182
12/14/13,transport,transport,2302,9.656,0,0
12/14/13,running,running,150,0.168,385,22
12/15/13,walking,walking,2637,2.223,4200,233
12/16/13,walking,walking,801,0.384,978,40
12/16/13,transport,transport,3946,15.655,0,0
12/18/13,walking,walking,2744,2.619,4685,274
12/18/13,transport,transport,3105,6.616,0,0
12/19/13,walking,walking,1853,1.294,2804,136
12/20/13,walking,walking,1120,0.610,1444,64
12/20/13,transport,transport,28681,321.798,0,0
12/21/13,transport,transport,40907,582.431,0,0
12/21/13,walking,walking,1385,0.858,1893,90
12/22/13,walking,walking,1727,1.015,2628,106
12/22/13,transport,transport,2346,7.535,0,0
12/23/13,walking,walking,2738,1.459,3518,153
12/23/13,transport,transport,2621,11.528,0,0
12/24/13,walking,walking,2318,1.329,3047,139
12/24/13,transport,transport,1506,6.189,0,0
12/25/13,walking,walking,1240,0.707,1728,74
12/26/13,walking,walking,4182,2.682,6663,281
12/26/13,transport,transport,9827,78.623,0,0
12/27/13,walking,walking,1827,1.107,2909,116
12/27/13,transport,transport,8618,97.568,0,0
12/28/13,walking,walking,606,0.261,842,27
12/29/13,walking,walking,663,0.365,1000,38
12/29/13,transport,transport,330,1.372,0,0
12/30/13,walking,walking,1590,0.753,1982,79
12/30/13,transport,transport,504,1.243,0,0
12/31/13,walking,walking,2438,1.594,3564,167
12/31/13,transport,transport,6190,43.335,0,0
1/1/14,walking,walking,1709,0.933,2236,98
1/1/14,transport,transport,333,1.604,0,0
1/2/14,walking,walking,1140,0.640,1399,67
1/2/14,transport,transport,1269,5.283,0,0
1/3/14,walking,walking,3256,1.660,3890,174
1/3/14,transport,transport,5980,48.077,0,0
1/4/14,walking,walking,1471,0.826,2025,87
1/4/14,transport,transport,2388,15.321,0,0
1/5/14,walking,walking,3799,2.228,5108,233
1/5/14,transport,transport,1545,6.915,0,0
1/6/14,walking,walking,1656,0.967,2128,101
1/7/14,walking,walking,4535,2.682,5969,281
1/7/14,transport,transport,4741,59.300,0,0
1/8/14,walking,walking,3567,3.142,5876,329
1/9/14,walking,walking,4480,3.076,7662,322
1/10/14,walking,walking,4178,2.998,6967,314
1/11/14,walking,walking,3478,2.476,5259,259
1/12/14,walking,walking,420,0.201,536,21
1/13/14,walking,walking,5267,4.491,8812,471
1/13/14,transport,transport,2525,6.961,0,0
1/14/14,walking,walking,5216,3.967,8954,416
1/15/14,walking,walking,4943,4.069,8221,426
1/16/14,walking,walking,5170,3.528,7778,370
1/16/14,transport,transport,11053,446.938,0,0
1/17/14,walking,walking,9120,8.371,14831,877
1/18/14,walking,walking,2116,1.180,2733,124
1/18/14,transport,transport,4478,42.639,0,0
1/19/14,walking,walking,2224,1.803,3510,189
1/20/14,walking,walking,480,0.286,799,30
1/20/14,transport,transport,537,0.367,0,0
1/21/14,walking,walking,2717,1.949,3863,204
1/22/14,walking,walking,318,0.150,381,16
1/23/14,walking,walking,1810,1.302,2742,136
1/24/14,walking,walking,858,0.481,1118,50
1/25/14,walking,walking,3886,2.786,5586,292
1/25/14,transport,transport,9466,454.662,0,0
1/26/14,walking,walking,30,0.006,20,1
1/27/14,walking,walking,2564,1.962,4119,206
1/28/14,walking,walking,4736,3.230,6861,338
1/28/14,transport,transport,210,0.647,0,0
1/29/14,walking,walking,4356,3.018,6434,316
1/29/14,transport,transport,2558,7.844,0,0
1/30/14,walking,walking,4905,3.960,8103,415
1/30/14,transport,transport,662,1.475,0,0
1/31/14,walking,walking,4930,4.076,7903,427
1/31/14,transport,transport,343,1.925,0,0
2/1/14,walking,walking,3579,2.413,5075,253
2/2/14,walking,walking,6379,5.220,10668,547
2/3/14,walking,walking,1160,0.683,1643,72
2/4/14,walking,walking,3507,2.613,5172,274
2/5/14,walking,walking,2439,1.791,3775,188
2/6/14,walking,walking,4879,3.165,7820,332
2/7/14,walking,walking,5777,3.987,9165,418
2/7/14,transport,transport,1078,2.573,0,0
2/8/14,walking,walking,4558,3.214,7291,337
2/9/14,walking,walking,1984,0.980,2212,103
2/9/14,transport,transport,1591,6.234,0,0
2/10/14,walking,walking,688,0.281,898,29
2/10/14,transport,transport,3543,14.835,0,0
2/11/14,walking,walking,2200,1.529,3449,160
2/12/14,walking,walking,2052,1.320,2943,138
2/12/14,transport,transport,10980,139.913,0,0
2/13/14,walking,walking,2547,1.712,4208,179
2/14/14,walking,walking,823,0.395,834,41
2/15/14,walking,walking,2846,1.948,4667,204
2/16/14,walking,walking,5814,3.710,8279,389
2/16/14,transport,transport,706,1.841,0,0
2/17/14,walking,walking,1100,0.867,2114,91
2/18/14,walking,walking,2340,1.590,3672,167
2/18/14,transport,transport,31866,500.094,0,0
2/19/14,walking,walking,5371,3.739,7653,392
2/20/14,walking,walking,3809,2.328,5795,244
2/21/14,walking,walking,5155,3.301,7605,346
2/22/14,walking,walking,4037,2.746,6398,288
2/23/14,walking,walking,2486,1.622,3893,170
2/24/14,walking,walking,6473,4.379,10110,459
2/25/14,walking,walking,2681,1.588,4251,166
2/26/14,walking,walking,693,0.296,779,31
2/27/14,walking,walking,2644,1.727,3749,181
2/27/14,transport,transport,30586,506.096,0,0
2/28/14,transport,transport,3526,8.310,0,0
2/28/14,walking,walking,1300,0.818,2043,86
3/1/14,walking,walking,1867,1.226,2898,128
3/1/14,transport,transport,2273,6.910,0,0
3/2/14,transport,transport,1369,1.409,0,0
3/2/14,walking,walking,414,0.318,779,33
3/4/14,walking,walking,2095,1.578,3286,165
3/4/14,bus,transport,284,0.608,0,0
3/4/14,underground,transport,2132,6.710,0,0
3/4/14,train,transport,26526,446.269,0,0
3/5/14,walking,walking,6261,4.223,9025,442
3/6/14,walking,walking,4130,2.929,6594,307
