Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/1/14,walking,walking,2014-12-01T05:33:16-06:00,2014-12-01T05:35:16-06:00,120,0.076,163,8
12/1/14,walking,walking,2014-12-01T06:21:38-06:00,2014-12-01T06:22:38-06:00,60,0.029,92,3
12/1/14,walking,walking,2014-12-01T06:26:55-06:00,2014-12-01T06:48:19-06:00,1284,1.331,2351,139
12/1/14,walking,walking,2014-12-01T07:55:14-06:00,2014-12-01T08:03:04-06:00,470,0.175,509,18
12/1/14,walking,walking,2014-12-01T09:37:21-06:00,2014-12-01T09:41:23-06:00,242,0.191,409,20
12/1/14,walking,walking,2014-12-01T11:12:19-06:00,2014-12-01T11:14:19-06:00,120,0.099,213,10
12/1/14,walking,walking,2014-12-01T12:19:08-06:00,2014-12-01T12:22:56-06:00,228,0.129,276,13
12/1/14,walking,walking,2014-12-01T14:00:44-06:00,2014-12-01T14:04:14-06:00,210,0.137,295,14
12/1/14,walking,walking,2014-12-01T14:19:12-06:00,2014-12-01T14:27:54-06:00,522,0.197,561,21
12/1/14,walking,walking,2014-12-01T14:29:45-06:00,2014-12-01T14:33:33-06:00,228,0.119,255,12
12/1/14,walking,walking,2014-12-01T15:01:18-06:00,2014-12-01T15:12:35-06:00,677,0.298,958,31
12/1/14,walking,walking,2014-12-01T15:59:50-06:00,2014-12-01T16:03:04-06:00,194,0.150,350,16
12/1/14,walking,walking,2014-12-01T16:05:02-06:00,2014-12-01T16:07:02-06:00,120,0.047,152,5
12/1/14,walking,walking,2014-12-01T16:59:47-06:00,2014-12-01T17:28:08-06:00,1701,1.374,2896,144
12/1/14,walking,walking,2014-12-01T17:29:24-06:00,2014-12-01T17:42:28-06:00,784,0.395,848,41
12/1/14,walking,walking,2014-12-01T18:00:00-06:00,2014-12-01T18:12:27-06:00,747,0.348,666,36
12/1/14,walking,walking,2014-12-01T18:28:49-06:00,2014-12-01T18:38:35-06:00,586,0.280,875,29
12/1/14,walking,walking,2014-12-01T18:39:24-06:00,2014-12-01T18:42:54-06:00,210,0.137,294,14
12/1/14,walking,walking,2014-12-01T19:04:25-06:00,2014-12-01T19:12:25-06:00,480,0.260,559,27
12/1/14,walking,walking,2014-12-01T20:00:03-06:00,2014-12-01T20:01:03-06:00,60,0.022,71,2
12/1/14,walking,walking,2014-12-01T21:40:19-06:00,2014-12-01T21:49:20-06:00,541,0.252,488,26
12/1/14,walking,walking,2014-12-01T22:26:21-06:00,2014-12-01T22:27:51-06:00,90,0.038,122,4
12/1/14,walking,walking,2014-12-01T23:07:05-06:00,2014-12-01T23:08:05-06:00,60,0.019,50,2
12/2/14,walking,walking,2014-12-02T14:34:28-06:00,2014-12-02T14:37:51-06:00,203,0.114,344,12
12/2/14,walking,walking,2014-12-02T14:41:36-06:00,2014-12-02T14:45:43-06:00,247,0.148,385,15
12/2/14,walking,walking,2014-12-02T14:47:43-06:00,2014-12-02T14:48:13-06:00,30,0.012,41,1
12/2/14,walking,walking,2014-12-02T16:30:27-06:00,2014-12-02T16:30:57-06:00,30,0.009,30,1
12/2/14,walking,walking,2014-12-02T17:02:02-06:00,2014-12-02T17:03:05-06:00,63,0.027,86,3
12/2/14,walking,walking,2014-12-02T19:07:50-06:00,2014-12-02T19:14:16-06:00,386,0.232,498,24
12/2/14,walking,walking,2014-12-02T19:14:05-06:00,2014-12-02T19:19:27-06:00,322,0.316,424,33
12/2/14,walking,walking,2014-12-02T19:21:34-06:00,2014-12-02T19:25:14-06:00,220,0.223,299,23
12/2/14,walking,walking,2014-12-02T19:26:28-06:00,2014-12-02T19:28:28-06:00,120,0.104,224,11
12/3/14,walking,walking,2014-12-03T05:47:22-06:00,2014-12-03T05:48:52-06:00,90,0.044,142,5
12/3/14,walking,walking,2014-12-03T06:28:04-06:00,2014-12-03T06:30:37-06:00,153,0.102,218,11
12/3/14,walking,walking,2014-12-03T06:36:23-06:00,2014-12-03T06:59:01-06:00,1358,1.200,2237,126
12/3/14,walking,walking,2014-12-03T07:56:24-06:00,2014-12-03T08:03:05-06:00,401,0.156,500,16
12/3/14,walking,walking,2014-12-03T09:34:11-06:00,2014-12-03T09:38:11-06:00,240,0.142,305,15
12/3/14,walking,walking,2014-12-03T11:19:12-06:00,2014-12-03T11:25:12-06:00,360,0.246,528,26
12/3/14,walking,walking,2014-12-03T12:20:37-06:00,2014-12-03T12:26:34-06:00,357,0.247,473,26
