Date,Activity,Group,Duration,Distance,Steps,Calories
11/1/14,walking,walking,4581,3.512,7136,368
11/1/14,transport,transport,850,2.760,0,0
11/2/14,walking,walking,5159,3.895,8145,408
11/3/14,walking,walking,5926,4.885,9676,512
11/3/14,transport,transport,1000,0.969,0,0
11/4/14,walking,walking,6340,4.821,10101,505
11/5/14,walking,walking,5351,4.101,8410,430
11/6/14,walking,walking,6336,4.743,9535,497
11/7/14,walking,walking,8796,6.152,12944,645
11/8/14,walking,walking,3318,1.973,4589,207
11/8/14,transport,transport,10509,115.121,0,0
11/9/14,walking,walking,2780,1.950,3691,204
11/10/14,walking,walking,6768,4.977,10447,521
11/11/14,walking,walking,5317,3.992,8556,418
11/12/14,walking,walking,11838,10.450,18272,1095
11/12/14,transport,transport,990,5.943,0,0
11/13/14,walking,walking,4979,3.776,7837,396
11/14/14,walking,walking,5320,3.668,7922,384
11/14/14,running,running,240,0.320,529,41
11/14/14,transport,transport,1180,0.843,0,0
11/15/14,walking,walking,6927,4.875,10019,511
11/15/14,transport,transport,691,2.605,0,0
11/16/14,walking,walking,450,0.213,578,22
11/17/14,walking,walking,4315,3.350,6171,351
11/18/14,walking,walking,5003,3.726,7342,390
11/19/14,walking,walking,5875,3.984,9157,417
11/20/14,walking,walking,5785,3.938,8736,413
11/20/14,transport,transport,1500,8.147,0,0
11/21/14,walking,walking,5246,3.722,7846,390
11/21/14,transport,transport,1509,3.578,0,0
11/22/14,walking,walking,8116,5.467,12245,573
11/23/14,walking,walking,2539,2.033,3865,213
11/24/14,walking,walking,6545,4.811,10332,504
11/25/14,walking,walking,5228,3.399,6910,356
11/25/14,transport,transport,845,0.603,0,0
11/26/14,walking,walking,4998,3.039,6683,318
11/27/14,walking,walking,3010,1.791,3889,188
11/27/14,transport,transport,17328,1059.803,0,0
11/28/14,walking,walking,3283,2.376,5211,249
11/29/14,walking,walking,4682,3.291,6764,345
11/29/14,transport,transport,10229,390.464,0,0
11/30/14,walking,walking,926,0.542,1212,57
