Date,Activity,Group,Duration,Distance,Steps,Calories
4/7/14,transport,transport,11430,120.623,0,0
4/7/14,walking,walking,2471,1.404,3406,147
4/8/14,walking,walking,1207,0.615,1581,64
4/8/14,transport,transport,10133,107.883,0,0
4/9/14,walking,walking,5340,3.903,7947,409
4/9/14,transport,transport,13536,1046.933,0,0
4/10/14,walking,walking,6124,4.061,9184,425
4/10/14,transport,transport,6344,68.170,0,0
4/11/14,walking,walking,3208,1.944,4527,204
4/11/14,transport,transport,25120,505.087,0,0
4/12/14,walking,walking,5613,4.161,8424,436
4/12/14,transport,transport,4996,8.697,0,0
4/13/14,walking,walking,12459,8.134,16548,852
4/13/14,transport,transport,3150,6.690,0,0
