Date,Activity,Group,Duration,Distance,Steps,Calories
12/1/13,walking,walking,4656,4.036,7342,423
12/1/13,transport,transport,9817,85.375,0,0
12/1/13,running,running,212,0.316,339,40
12/2/13,walking,walking,512,0.211,603,22
12/3/13,walking,walking,2091,1.209,3073,127
12/3/13,transport,transport,787,2.241,0,0
12/4/13,transport,transport,11349,1007.407,0,0
12/4/13,walking,walking,1659,0.793,1814,83
12/5/13,walking,walking,6401,5.296,10557,555
12/6/13,walking,walking,5133,4.053,8189,425
12/6/13,transport,transport,4579,44.368,0,0
12/7/13,walking,walking,4776,3.923,7416,411
12/8/13,walking,walking,2539,2.004,4291,210
12/9/13,walking,walking,6357,5.389,10699,565
12/9/13,transport,transport,3227,13.922,0,0
12/10/13,walking,walking,1781,0.905,2311,95
12/11/13,walking,walking,4143,3.181,6537,333
12/11/13,transport,transport,2333,8.794,0,0
12/12/13,walking,walking,5599,4.805,9648,503
12/13/13,walking,walking,2684,2.251,4289,236
12/13/13,transport,transport,35685,486.645,0,0
12/14/13,walking,walking,2204,1.762,3489,185
12/14/13,transport,transport,2302,9.656,0,0
12/14/13,running,running,150,0.168,385,22
12/15/13,walking,walking,2547,2.195,4109,230
12/16/13,walking,walking,801,0.384,978,40
12/16/13,transport,transport,3946,15.655,0,0
12/18/13,walking,walking,2744,2.619,4685,274
12/18/13,transport,transport,3105,6.616,0,0
12/19/13,walking,walking,1853,1.294,2804,136
12/20/13,walking,walking,1120,0.610,1444,64
12/20/13,transport,transport,31517,362.925,0,0
12/21/13,transport,transport,38070,541.305,0,0
12/21/13,walking,walking,1385,0.858,1893,90
12/22/13,walking,walking,1727,1.015,2628,106
12/22/13,transport,transport,2346,7.535,0,0
12/23/13,walking,walking,2738,1.459,3518,153
12/23/13,transport,transport,2621,11.528,0,0
12/24/13,walking,walking,2318,1.329,3047,139
12/24/13,transport,transport,1506,6.189,0,0
12/25/13,walking,walking,1240,0.707,1728,74
12/26/13,walking,walking,4182,2.682,6663,281
12/26/13,transport,transport,9827,78.623,0,0
12/27/13,walking,walking,1827,1.107,2909,116
12/27/13,transport,transport,8618,97.568,0,0
12/28/13,walking,walking,606,0.261,842,27
12/29/13,walking,walking,663,0.365,1000,38
12/29/13,transport,transport,330,1.372,0,0
12/30/13,walking,walking,1590,0.753,1982,79
12/30/13,transport,transport,504,1.243,0,0
12/31/13,walking,walking,2438,1.594,3564,167
12/31/13,transport,transport,6190,43.335,0,0
